state,primary_fuel,capacity_mw,generation_gwh,capacity_factor
Alaska,Hydro,12,50.3692857142857,0.479159871711242
Alaska,Oil,5.3,9.20771428571429,0.19832244089158
Alaska,Oil,4.6,1.07357142857143,0.026642133923254
Alaska,Oil,1,-0.002857142857143,-0.000326157860404
Alaska,Oil,10.7,7.40014285714286,0.078950015545842
Alaska,Oil,18.3,0.965428571428571,0.006022335575446
Alaska,Oil,2.2,0.121857142857143,0.006323014884659
Alaska,Oil,181,387.230144,0.244222952143091
Alaska,Oil,42.2,6.45857142857143,0.017471086337541
Alaska,Coal,92.8,76.5540001428572,0.094170701640068
Alaska,Hydro,19.4,43.2451428571429,0.254467017706673
Alaska,Gas,76.7,9.41685714285714,0.014015432752373
Alaska,Gas,30,2.04528571428571,0.007782670145684
Alaska,Oil,2,3.31657142857143,0.189302022178735
